Date,Discount,Protein Powder Price
2023-11-10,40,446.0
2023-11-11,40,446.0
2023-11-12,40,446.0
2023-11-13,25,446.0
2023-11-14,25,446.0
2023-11-15,25,446.0
2023-11-16,25,446.0
2023-11-17,25,446.0
2023-11-18,45,446.0
2023-11-19,45,446.0
2023-11-20,45,446.0
2023-11-21,45,446.0
2023-11-22,45,446.0
2023-11-23,55,446.0
2023-11-24,55,446.0
2023-11-25,55,446.0
2023-11-26,55,446.0
2023-11-27,50,446.0
2023-11-28,50,446.0
2023-11-29,50,446.0
2023-12-01,50,446.0
2023-12-02,25,446.0
2023-12-03,25,446.0
2023-12-04,25,446.0
2023-12-05,25,446.0
2023-12-06,40,446.0
2023-12-07,40,446.0
2023-12-08,40,446.0
2023-12-09,40,446.0
2023-12-11,40,446.0
2023-12-12,50,446.0
2024-01-08,25,446.0
2024-02-12,40,446.0
2024-02-15,50,446.0
2024-02-16,50,446.0
2024-02-17,50,446.0
2024-02-18,50,446.0
2024-02-19,50,446.0
2024-02-24,25,446.0
2024-02-28,25,446.0
2024-02-29,25,446.0
2024-03-01,25,446.0
2024-03-09,25,446.0
2024-03-20,40,446.0
2024-03-24,50,446.0
2024-03-27,50,446.0
2024-03-29,50,446.0
2024-03-30,50,446.0
2024-03-31,50,446.0
2024-04-01,25,446.0
2024-04-09,25,446.0
2024-04-10,25,446.0
2024-04-11,25,446.0
2024-04-12,25,446.0
2024-04-14,25,446.0
2024-04-16,25,446.0
2024-04-18,40,446.0
2024-04-19,40,446.0
2024-04-21,40,446.0
2024-04-22,40,184.0
2024-04-23,40,184.0
2024-04-24,50,184.0
2024-04-25,50,184.0
2024-04-27,50,184.0
2024-04-28,55,184.0
2024-05-03,55,446.0
2024-05-04,25,446.0
2024-05-05,25,446.0
2024-05-06,25,446.0
2024-05-07,25,446.0
2024-05-08,25,446.0
2024-05-10,25,446.0
2024-05-12,25,446.0
2024-05-15,25,446.0
2024-05-17,40,446.0
2024-05-18,40,446.0
2024-05-19,40,446.0
2024-05-21,40,446.0
2024-05-22,40,446.0
2024-05-24,50,446.0
2024-05-25,50,446.0
2024-05-26,50,446.0
2024-05-28,55,446.0
2024-05-29,55,446.0
2024-05-30,55,446.0
2024-05-31,55,446.0
2024-06-01,55,446.0
2024-06-03,55,446.0
2024-06-04,25,446.0
2024-06-05,25,446.0
2024-06-06,25,446.0
2024-06-07,25,446.0
2024-06-08,25,446.0
2024-06-09,25,446.0
2024-06-11,40,446.0
2024-06-12,40,446.0
2024-06-13,50,446.0
2024-06-14,50,446.0
2024-06-15,50,446.0
2024-06-17,30,446.0
2024-06-19,30,446.0
2024-06-20,30,446.0
2024-06-21,30,446.0
2024-06-22,30,446.0
2024-06-24,30,446.0
2024-06-25,30,446.0
2024-06-27,30,446.0
2024-06-28,30,446.0
2024-06-29,30,446.0
2024-07-01,30,446.0
2024-07-02,25,446.0
2024-07-03,25,446.0
2024-07-04,25,446.0
2024-07-05,25,446.0
2024-07-07,25,446.0
2024-07-08,50,446.0
2024-07-09,50,446.0
2024-07-11,50,446.0
2024-07-12,50,446.0
2024-07-13,40,446.0
2024-07-14,40,446.0
2024-07-15,40,446.0
2024-07-17,25,446.0
2024-07-27,40,446.0
2024-07-28,40,446.0
2024-07-29,50,446.0
2024-07-31,50,446.0
2024-08-01,50,446.0
2024-08-02,50,446.0
2024-08-03,50,446.0
2024-08-04,50,446.0
2024-08-05,50,446.0
2024-08-09,25,446.0
2024-08-10,25,446.0
2024-08-12,25,446.0
2024-08-13,40,446.0
2024-08-14,40,446.0
2024-08-15,50,446.0
2024-08-17,50,446.0
2024-08-19,30,446.0
2024-08-20,30,446.0
2024-08-21,30,446.0
2024-08-22,30,446.0
2024-08-24,30,446.0
2024-08-25,30,446.0
2024-08-28,30,446.0
2024-08-29,30,446.0
2024-09-05,30,76.0
2024-09-06,30,76.0
2024-09-07,30,76.0
2024-09-09,30,76.0
2024-09-13,30,58.0
2024-09-14,30,58.0
2024-09-16,25,58.0
2024-09-18,25,58.0
2024-09-19,25,56.35
2024-09-21,25,58.0
2024-09-22,25,58.0
2024-09-23,25,58.0
2024-09-24,25,58.0
